CountryCode,IndicatorCode,Year,Value
DJI,SE.XPD.TOTL.GD.ZS,2000,9.659999847
DMA,SE.TER.ENRR,2000,25.895467121333333
DMA,SE.XPD.TOTL.GD.ZS,2000,19.958424779555553
DNK,SE.TER.ENRR,2000,14.021382437777776
DNK,SE.XPD.TOTL.GD.ZS,2000,8.084340096
DOM,SE.TER.ENRR,2000,4.986315072
DOM,SE.XPD.TOTL.GD.ZS,2000,1.888290048
DZA,SE.TER.ENRR,2000,5.055323361999999
DZA,SE.XPD.TOTL.GD.ZS,2000,8.222356676
EAP,SE.TER.ENRR,2000,11.38938999
EAP,SE.XPD.TOTL.GD.ZS,2000,12.26751518
EAR,SE.TER.ENRR,2000,13.14564037
EAR,SE.XPD.TOTL.GD.ZS,2000,5.909830093
EAS,SE.TER.ENRR,2000,15.56916046
EAS,SE.XPD.TOTL.GD.ZS,2000,27.500579835000003
ECA,SE.TER.ENRR,2000,39.43199921
ECA,SE.XPD.TOTL.GD.ZS,2000,36.37268041411111
ECS,SE.TER.ENRR,2000,33.313361618222224
ECS,SE.XPD.TOTL.GD.ZS,2000,30.254042822333332
ECU,SE.TER.ENRR,2000,15.702486434666667
ECU,SE.XPD.TOTL.GD.ZS,2000,1.150930047
EGY,SE.TER.ENRR,2000,18.104516108
EGY,SE.XPD.TOTL.GD.ZS,2000,35.058102169
EMU,SE.TER.ENRR,2000,30.99810563375
EMU,SE.XPD.TOTL.GD.ZS,2000,26.9381090985
ERI,SE.TER.ENRR,2000,1.864529967
ERI,SE.XPD.TOTL.GD.ZS,2000,30.1360346685
ESP,SE.TER.ENRR,2000,17.15104231275
ESP,SE.XPD.TOTL.GD.ZS,2000,4.166049957
EST,SE.TER.ENRR,2000,4.7527549265
EST,SE.XPD.TOTL.GD.ZS,2000,5.339459896
ETH,SE.TER.ENRR,2000,1.166000009
ETH,SE.XPD.TOTL.GD.ZS,2000,3.983109951
EUU,SE.TER.ENRR,2000,16.648200274500002
EUU,SE.XPD.TOTL.GD.ZS,2000,29.313290598000002
FCS,SE.TER.ENRR,2000,9.836839676
FCS,SE.XPD.TOTL.GD.ZS,2000,8.460993131
FIN,SE.TER.ENRR,2000,7.0851465860000005
FIN,SE.XPD.TOTL.GD.ZS,2000,5.709300041
FJI,SE.TER.ENRR,2000,5.7935199735000005
FJI,SE.XPD.TOTL.GD.ZS,2000,5.877739906
FRA,SE.TER.ENRR,2000,5.738979578
FRA,SE.XPD.TOTL.GD.ZS,2000,5.60021925
FRO,SE.TER.ENRR,2000,8.190859476666667
FRO,SE.XPD.TOTL.GD.ZS,2000,10.781499703333333
FSM,SE.TER.ENRR,2000,13.37213993
FSM,SE.XPD.TOTL.GD.ZS,2000,6.706870079
GAB,SE.TER.ENRR,2000,5.266980052
GAB,SE.XPD.TOTL.GD.ZS,2000,3.827090025
GBR,SE.TER.ENRR,2000,3.9209200145
GBR,SE.XPD.TOTL.GD.ZS,2000,4.014750004
GEO,SE.TER.ENRR,2000,3.097900033
GEO,SE.XPD.TOTL.GD.ZS,2000,2.181050062
GHA,SE.TER.ENRR,2000,2.2497750520000004
GHA,SE.XPD.TOTL.GD.ZS,2000,2.318500042
GIB,SE.TER.ENRR,2000,2.387225032
GIB,SE.XPD.TOTL.GD.ZS,2000,2.455950022
GIN,SE.TER.ENRR,2000,2.5246750120000003
GIN,SE.XPD.TOTL.GD.ZS,2000,2.593400002
GMB,SE.TER.ENRR,2000,2.0296350125
GMB,SE.XPD.TOTL.GD.ZS,2000,1.465870023
GNB,SE.TER.ENRR,2000,1.5974733433333332
GNB,SE.XPD.TOTL.GD.ZS,2000,1.7290766636666666
GNQ,SE.TER.ENRR,2000,1.860679984
GNQ,SE.XPD.TOTL.GD.ZS,2000,26.854019342
GRC,SE.TER.ENRR,2000,15.0421046905
GRC,SE.XPD.TOTL.GD.ZS,2000,3.230190039
GRD,SE.TER.ENRR,2000,3.7555860283999998
GRD,SE.XPD.TOTL.GD.ZS,2000,4.2809820177999995
GRL,SE.TER.ENRR,2000,4.8063780072
GRL,SE.XPD.TOTL.GD.ZS,2000,5.3317739966
GTM,SE.TER.ENRR,2000,5.857169986
GTM,SE.XPD.TOTL.GD.ZS,2000,6.3825659754
GUM,SE.TER.ENRR,2000,6.9079619648
GUM,SE.XPD.TOTL.GD.ZS,2000,7.4333579542
GUY,SE.TER.ENRR,2000,7.9587539436
GUY,SE.XPD.TOTL.GD.ZS,2000,8.484149933
HIC,SE.TER.ENRR,2000,6.473505974
HIC,SE.XPD.TOTL.GD.ZS,2000,4.462862015
HKG,SE.TER.ENRR,2000,7.161727906666667
HKG,SE.XPD.TOTL.GD.ZS,2000,9.860593798333333
HND,SE.TER.ENRR,2000,12.55945969
HND,SE.XPD.TOTL.GD.ZS,2000,7.869399788000001
HPC,SE.TER.ENRR,2000,3.179339886
HPC,SE.XPD.TOTL.GD.ZS,2000,4.157129447
HRV,SE.TER.ENRR,2000,5.134919008
HRV,SE.XPD.TOTL.GD.ZS,2000,6.112708569
HTI,SE.TER.ENRR,2000,16.678059579333333
HTI,SE.XPD.TOTL.GD.ZS,2000,27.243410589666663
HUN,SE.TER.ENRR,2000,37.8087616
HUN,SE.XPD.TOTL.GD.ZS,2000,4.868400097
IBD,SE.TER.ENRR,2000,15.92537022
IBD,SE.XPD.TOTL.GD.ZS,2000,14.6233449
IBT,SE.TER.ENRR,2000,13.32131958
IBT,SE.XPD.TOTL.GD.ZS,2000,9.0301897525
IDA,SE.TER.ENRR,2000,4.739059925
IDA,SE.XPD.TOTL.GD.ZS,2000,4.805774927
IDB,SE.TER.ENRR,2000,4.872489929
IDB,SE.XPD.TOTL.GD.ZS,2000,9.898954869499999
IDN,SE.TER.ENRR,2000,14.92541981
IDN,SE.XPD.TOTL.GD.ZS,2000,9.7981998935
IDX,SE.TER.ENRR,2000,4.670979977
IDX,SE.XPD.TOTL.GD.ZS,2000,5.86704504525
IMN,SE.TER.ENRR,2000,7.0631101135
IMN,SE.XPD.TOTL.GD.ZS,2000,8.259175181749999
IND,SE.TER.ENRR,2000,9.45524025
IND,SE.XPD.TOTL.GD.ZS,2000,4.324790001
INX,SE.TER.ENRR,2000,19.366463344
INX,SE.XPD.TOTL.GD.ZS,2000,34.408136686999995
IRL,SE.TER.ENRR,2000,19.270198266499996
IRL,SE.XPD.TOTL.GD.ZS,2000,4.132259846
IRN,SE.TER.ENRR,2000,19.40138054
IRN,SE.XPD.TOTL.GD.ZS,2000,4.030640125
IRQ,SE.TER.ENRR,2000,12.05463028
IRQ,SE.XPD.TOTL.GD.ZS,2000,28.986040115
ISL,SE.TER.ENRR,2000,17.708739996
ISL,SE.XPD.TOTL.GD.ZS,2000,6.431439877
ISR,SE.TER.ENRR,2000,6.191694975
ISR,SE.XPD.TOTL.GD.ZS,2000,5.951950073
ITA,SE.TER.ENRR,2000,5.1215150355
ITA,SE.XPD.TOTL.GD.ZS,2000,4.291079998
JAM,SE.TER.ENRR,2000,13.67481995
JAM,SE.XPD.TOTL.GD.ZS,2000,4.983469963
JOR,SE.TER.ENRR,2000,29.32793045
JOR,SE.XPD.TOTL.GD.ZS,2000,20.705326954333334
JPN,SE.TER.ENRR,2000,12.082723458666667
JPN,SE.XPD.TOTL.GD.ZS,2000,3.460119963
KAZ,SE.TER.ENRR,2000,32.06386948
KAZ,SE.XPD.TOTL.GD.ZS,2000,3.25661993
KEN,SE.TER.ENRR,2000,2.765140057
KEN,SE.XPD.TOTL.GD.ZS,2000,5.186729908
KGZ,SE.TER.ENRR,2000,35.32043839
KGZ,SE.XPD.TOTL.GD.ZS,2000,3.50838995
KHM,SE.TER.ENRR,2000,2.314399958
KHM,SE.XPD.TOTL.GD.ZS,2000,1.666810036
KIR,SE.TER.ENRR,2000,6.426340103
KIR,SE.XPD.TOTL.GD.ZS,2000,11.18587017
KNA,SE.TER.ENRR,2000,7.963129996999999
KNA,SE.XPD.TOTL.GD.ZS,2000,4.740389824
KOR,SE.TER.ENRR,2000,12.355616091749999
KOR,SE.XPD.TOTL.GD.ZS,2000,19.970842359499997
KWT,SE.TER.ENRR,2000,27.586068627249997
KWT,SE.XPD.TOTL.GD.ZS,2000,35.201294895
LAC,SE.TER.ENRR,2000,22.0384407
LAC,SE.XPD.TOTL.GD.ZS,2000,7.704810143
LAO,SE.TER.ENRR,2000,2.657779932
LAO,SE.XPD.TOTL.GD.ZS,2000,1.503690004
LBN,SE.TER.ENRR,2000,28.15299988
LBN,SE.XPD.TOTL.GD.ZS,2000,23.0990448
LBR,SE.TER.ENRR,2000,18.04508972
LBR,SE.XPD.TOTL.GD.ZS,2000,35.53315544
LBY,SE.TER.ENRR,2000,36.383158683333335
LBY,SE.XPD.TOTL.GD.ZS,2000,37.23316192666667
LCA,SE.TER.ENRR,2000,38.08316517
LCA,SE.XPD.TOTL.GD.ZS,2000,30.614137175
LCN,SE.TER.ENRR,2000,23.14510918
LCN,SE.XPD.TOTL.GD.ZS,2000,7.704810143
LDC,SE.TER.ENRR,2000,3.682940006
LDC,SE.XPD.TOTL.GD.ZS,2000,4.111905097999999
LIC,SE.TER.ENRR,2000,4.54087019
LIC,SE.XPD.TOTL.GD.ZS,2000,5.563045105
LIE,SE.TER.ENRR,2000,6.5852200199999995
LIE,SE.XPD.TOTL.GD.ZS,2000,7.607394934999999
LKA,SE.TER.ENRR,2000,8.62956985
LKA,SE.XPD.TOTL.GD.ZS,2000,9.651744765
LMC,SE.TER.ENRR,2000,10.67391968
LMC,SE.XPD.TOTL.GD.ZS,2000,11.802789690000001
LMY,SE.TER.ENRR,2000,12.9316597
LMY,SE.XPD.TOTL.GD.ZS,2000,7.497794867500001
LSO,SE.TER.ENRR,2000,2.063930035
LSO,SE.XPD.TOTL.GD.ZS,2000,10.09154987
LTE,SE.TER.ENRR,2000,16.03660965
LTE,SE.XPD.TOTL.GD.ZS,2000,33.466714859999996
LTU,SE.TER.ENRR,2000,19.534550429
LTU,SE.XPD.TOTL.GD.ZS,2000,5.602385998
LUX,SE.TER.ENRR,2000,9.962800026
LUX,SE.XPD.TOTL.GD.ZS,2000,4.240472317
LVA,SE.TER.ENRR,2000,4.7573711875
LVA,SE.XPD.TOTL.GD.ZS,2000,5.274270058
MAC,SE.TER.ENRR,2000,26.91960907
MAC,SE.XPD.TOTL.GD.ZS,2000,3.314389944
MAF,SE.TER.ENRR,2000,5.555970032666666
MAF,SE.XPD.TOTL.GD.ZS,2000,7.797550121333333
MAR,SE.TER.ENRR,2000,10.03913021
MAR,SE.XPD.TOTL.GD.ZS,2000,7.1112068090000005
MCO,SE.TER.ENRR,2000,4.183283408
MCO,SE.XPD.TOTL.GD.ZS,2000,1.255360007
MDA,SE.TER.ENRR,2000,32.99705124
MDA,SE.XPD.TOTL.GD.ZS,2000,4.486390114
MDG,SE.TER.ENRR,2000,2.093029976
MDG,SE.XPD.TOTL.GD.ZS,2000,2.438689947
MDV,SE.TER.ENRR,2000,4.0879484415
MDV,SE.XPD.TOTL.GD.ZS,2000,5.737206936
MEA,SE.TER.ENRR,2000,19.6129303
MEA,SE.XPD.TOTL.GD.ZS,2000,4.555034995
MEX,SE.TER.ENRR,2000,20.52597046
MEX,SE.XPD.TOTL.GD.ZS,2000,3.992439985
MHL,SE.TER.ENRR,2000,7.205516656666666
MHL,SE.XPD.TOTL.GD.ZS,2000,10.418593328333333
MIC,SE.TER.ENRR,2000,13.63167
MIC,SE.XPD.TOTL.GD.ZS,2000,7.704810143
MKD,SE.TER.ENRR,2000,23.30654907
MKD,SE.XPD.TOTL.GD.ZS,2000,12.570294557999999
MLI,SE.TER.ENRR,2000,1.834040046
MLI,SE.XPD.TOTL.GD.ZS,2000,2.971560001
MLT,SE.TER.ENRR,2000,21.90958977
MLT,SE.XPD.TOTL.GD.ZS,2000,5.146474838
MMR,SE.TER.ENRR,2000,9.910449982
