Board Number,Board Name,Elementary Male Enrolment,Elementary Female Enrolment,Secondary Male Enrolment,Secondary Female Enrolment,Total Male Enrolment,Total Female Enrolment,year
B29068,Thunder Bay CDSB,2832 ,2726 ,1141 ,1141 ,3973 ,3867 ,2015 
B67059,Toronto CDSB,30774 ,29534 ,15008 ,15128 ,45782 ,44662 ,2015 
B66052,Toronto DSB,87165 ,82690 ,39169 ,35536 ,126334 ,118226 ,2015 
B66087,Trillium Lakelands DSB,5533 ,5141 ,3127 ,3007 ,8660 ,8148 ,2015 
B66192,Upper Canada DSB,8993 ,8602 ,5172 ,4717 ,14165 ,13319 ,2015 
B66117,Upper Grand DSB,11506 ,11007 ,5992 ,5532 ,17498 ,16539 ,2015 
B67148,Waterloo CDSB,7451 ,7279 ,3571 ,3089 ,11022 ,10368 ,2015 
B66176,Waterloo Region DSB,21684 ,20672 ,10323 ,9659 ,32007 ,30331 ,2015 
B67130,Wellington CDSB,2788 ,2678 ,1337 ,1183 ,4125 ,3861 ,2015 
B67024,Windsor-Essex CDSB,6904 ,6277 ,3940 ,3607 ,10844 ,9884 ,2015 
B67075,York CDSB,18684 ,18104 ,9293 ,8981 ,27977 ,27085 ,2015 
B66095,York Region DSB,43237 ,40513 ,20495 ,18727 ,63732 ,59240 ,2015 
B28010,Algoma DSB,3363 ,3048 ,1724 ,1506 ,5087 ,4554 ,2017 
B67202,Algonquin and Lakeshore CDSB,4010 ,3928 ,1934 ,1944 ,5944 ,5872 ,2017 
B66010,Avon Maitland DSB,5178 ,4988 ,2934 ,2693 ,8112 ,7681 ,2017 
B66001,Bluewater DSB,6036 ,5824 ,2398 ,2198 ,8434 ,8022 ,2017 
B67164,Brant Haldimand Norfolk CDSB,3360 ,3204 ,1751 ,1749 ,5111 ,4953 ,2017 
B67008,Bruce-Grey CDSB,1425 ,1400 ,855 ,743 ,2280 ,2143 ,2017 
B67172,CDSB of Eastern Ontario,4440 ,4224 ,2011 ,2038 ,6451 ,6262 ,2017 
B66303,CS Viamonde,4839 ,5150 ,916 ,1071 ,5755 ,6221 ,2017 
B67318,CS catholique MonAvenir,6510 ,7081 ,1488 ,1667 ,7998 ,8748 ,2017 
B28118,CS public du Grand Nord de l'Ontario,974 ,901 ,313 ,285 ,1287 ,1186 ,2017 
B28100,CSD du Nord-Est de l'Ontario,807 ,887 ,234 ,226 ,1041 ,1113 ,2017 
B29114,CSDC Franco-Nord,975 ,1001 ,398 ,422 ,1373 ,1423 ,2017 
B67326,CSDC de l'Est ontarien,3688 ,3698 ,1352 ,1305 ,5040 ,5003 ,2017 
B29130,CSDC des Aurores boréales,341 ,347 ,61 ,61 ,402 ,408 ,2017 
B29106,CSDC des Grandes Rivières,2022 ,2094 ,855 ,890 ,2877 ,2984 ,2017 
B67334,CSDC du Centre-Est de l'Ontario,9041 ,9374 ,2629 ,2720 ,11670 ,12094 ,2017 
B29122,CSDC du Nouvel-Ontario,2447 ,2550 ,771 ,884 ,3218 ,3434 ,2017 
B67300,Conseil scolaire catholique Providence,3855 ,4272 ,873 ,988 ,4728 ,5260 ,2017 
B66311,CÉP de l'Est de l'Ontario,5692 ,5826 ,1785 ,1941 ,7477 ,7767 ,2017 
B66150,DSB Niagara,12866 ,12224 ,6144 ,5818 ,19010 ,18042 ,2017 
B28002,DSB Ontario North East,2130 ,2040 ,1363 ,1127 ,3493 ,3167 ,2017 
B67083,Dufferin-Peel CDSB,25196 ,23900 ,15912 ,15419 ,41108 ,39319 ,2017 
B67105,Durham CDSB,7492 ,7105 ,3341 ,3229 ,10833 ,10334 ,2017 
B66060,Durham DSB,25067 ,23970 ,10950 ,10214 ,36017 ,34184 ,2017 
B66168,Grand Erie DSB,9180 ,8632 ,4583 ,4154 ,13763 ,12786 ,2017 
B66028,Greater Essex County DSB,12727 ,11797 ,6224 ,5584 ,18951 ,17381 ,2017 
B67113,Halton CDSB,11702 ,10971 ,6173 ,5725 ,17875 ,16696 ,2017 
B66133,Halton DSB,23092 ,22014 ,10090 ,9321 ,33182 ,31335 ,2017 
B67121,Hamilton-Wentworth CDSB,9613 ,9088 ,5475 ,5287 ,15088 ,14375 ,2017 
B66141,Hamilton-Wentworth DSB,18508 ,17034 ,7611 ,6811 ,26119 ,23845 ,2017 
