Board Number,Board Name,Elementary Male Enrolment,Elementary Female Enrolment,Secondary Male Enrolment,Secondary Female Enrolment,Total Male Enrolment,Total Female Enrolment,year
B28029,Rainbow DSB,4690 ,4295 ,2335 ,2150 ,7025 ,6445 ,2019 
B28053,Rainy River DSB,880 ,845 ,460 ,460 ,1340 ,1305 ,2019 
B67199,Renfrew County CDSB,2005 ,1770 ,595 ,550 ,2600 ,2320 ,2019 
B66214,Renfrew County DSB,3105 ,2925 ,1630 ,1440 ,4735 ,4365 ,2019 
B66109,Simcoe County DSB,19520 ,18345 ,8140 ,7625 ,27655 ,25975 ,2019 
B67091,Simcoe Muskoka CDSB,7755 ,7310 ,3605 ,3395 ,11360 ,10705 ,2019 
B67040,St Clair CDSB,3140 ,3050 ,1320 ,1340 ,4455 ,4390 ,2019 
B29033,Sudbury CDSB,2240 ,2165 ,940 ,875 ,3180 ,3045 ,2019 
B29076,Superior North CDSB,350 ,295 ,,,350 ,295 ,2019 
B28070,Superior-Greenstone DSB,415 ,350 ,370 ,300 ,785 ,650 ,2019 
B66044,Thames Valley DSB,29065 ,27550 ,12445 ,11510 ,41510 ,39060 ,2019 
B29068,Thunder Bay CDSB,2735 ,2620 ,1155 ,1090 ,3890 ,3710 ,2019 
B67059,Toronto CDSB,32055 ,30880 ,14170 ,14345 ,46230 ,45225 ,2019 
B66052,Toronto DSB,89740 ,84620 ,37670 ,34865 ,127410 ,119485 ,2019 
B66087,Trillium Lakelands DSB,5800 ,5410 ,2920 ,2710 ,8720 ,8120 ,2019 
B66192,Upper Canada DSB,9300 ,8590 ,4665 ,4300 ,13965 ,12890 ,2019 
B66117,Upper Grand DSB,12440 ,11545 ,5885 ,5490 ,18325 ,17035 ,2019 
B67148,Waterloo CDSB,8710 ,8155 ,3695 ,3520 ,12405 ,11675 ,2019 
B66176,Waterloo Region DSB,23175 ,21970 ,10410 ,9910 ,33585 ,31880 ,2019 
B67130,Wellington CDSB,2985 ,2740 ,1205 ,1165 ,4185 ,3905 ,2019 
B67024,Windsor-Essex CDSB,6965 ,6470 ,3930 ,3710 ,10895 ,10180 ,2019 
B67075,York CDSB,17505 ,16985 ,9170 ,8930 ,26675 ,25915 ,2019 
B66095,York Region DSB,44985 ,42410 ,21405 ,19770 ,66390 ,62180 ,2019 
