Board Number,Board Name,Elementary Male Enrolment,Elementary Female Enrolment,Secondary Male Enrolment,Secondary Female Enrolment,Total Male Enrolment,Total Female Enrolment
B28010,Algoma DSB," 3,298 "," 3,013 "," 1,795 "," 1,515 "," 5,093 "," 4,528 "
B67202,Algonquin and Lakeshore CDSB," 3,962 "," 3,822 "," 1,974 "," 2,002 "," 5,936 "," 5,824 "
B66010,Avon Maitland DSB," 5,138 "," 4,936 "," 2,893 "," 2,669 "," 8,031 "," 7,605 "
B66001,Bluewater DSB," 5,853 "," 5,645 "," 2,518 "," 2,240 "," 8,371 "," 7,885 "
B67164,Brant Haldimand Norfolk CDSB," 3,288 "," 3,123 "," 1,754 "," 1,718 "," 5,042 "," 4,841 "
B67008,Bruce-Grey CDSB," 1,392 "," 1,347 ", 807 , 702 ," 2,199 "," 2,049 "
B67172,CDSB of Eastern Ontario," 4,428 "," 4,226 "," 2,107 "," 2,022 "," 6,535 "," 6,248 "
B66303,CS Viamonde," 4,650 "," 4,909 ", 877 , 977 ," 5,527 "," 5,886 "
B67318,CS catholique MonAvenir," 6,375 "," 6,930 "," 1,451 "," 1,649 "," 7,826 "," 8,579 "
B28118,CS public du Grand Nord de l'Ontario, 941 , 880 , 321 , 286 ," 1,262 "," 1,166 "
B28100,CSD du Nord-Est de l'Ontario, 803 , 870 , 250 , 234 ," 1,053 "," 1,104 "
B29114,CSDC Franco-Nord, 941 , 994 , 449 , 459 ," 1,390 "," 1,453 "
B67326,CSDC de l'Est ontarien," 3,697 "," 3,664 "," 1,423 "," 1,328 "," 5,120 "," 4,992 "
B29130,CSDC des Aurores bor¨¦ales, 340 , 331 , 70 , 60 , 410 , 391 
B29106,CSDC des Grandes Rivi¨¨res," 2,016 "," 2,088 ", 880 , 935 ," 2,896 "," 3,023 "
B67334,CSDC du Centre-Est de l'Ontario," 8,682 "," 8,870 "," 2,520 "," 2,630 "," 11,202 "," 11,500 "
B29122,CSDC du Nouvel-Ontario," 2,516 "," 2,568 ", 759 , 849 ," 3,275 "," 3,417 "
B67300,Conseil scolaire catholique Providence," 3,830 "," 4,233 ", 857 , 935 ," 4,687 "," 5,168 "
B66311,C?P de l'Est de l'Ontario," 5,378 "," 5,494 "," 1,664 "," 1,843 "," 7,042 "," 7,337 "
B66150,DSB Niagara," 12,730 "," 12,016 "," 6,175 "," 5,790 "," 18,905 "," 17,806 "
B28002,DSB Ontario North East," 2,168 "," 1,997 "," 1,380 "," 1,197 "," 3,548 "," 3,194 "
B67083,Dufferin-Peel CDSB," 25,394 "," 24,006 "," 16,118 "," 15,672 "," 41,512 "," 39,678 "
B67105,Durham CDSB," 7,443 "," 7,115 "," 3,432 "," 3,294 "," 10,875 "," 10,409 "
B66060,Durham DSB," 24,886 "," 23,705 "," 11,075 "," 10,201 "," 35,961 "," 33,906 "
B66168,Grand Erie DSB," 9,175 "," 8,540 "," 4,689 "," 4,239 "," 13,864 "," 12,779 "
B66028,Greater Essex County DSB," 12,473 "," 11,498 "," 6,054 "," 5,563 "," 18,527 "," 17,061 "
B67113,Halton CDSB," 11,553 "," 10,791 "," 5,833 "," 5,360 "," 17,386 "," 16,151 "
B66133,Halton DSB," 23,019 "," 21,861 "," 9,852 "," 9,223 "," 32,871 "," 31,084 "
B67121,Hamilton-Wentworth CDSB," 9,516 "," 9,027 "," 5,355 "," 5,222 "," 14,871 "," 14,249 "
B66141,Hamilton-Wentworth DSB," 18,298 "," 16,810 "," 7,688 "," 6,830 "," 25,986 "," 23,640 "
B66222,Hastings & Prince Edward DSB," 5,204 "," 4,970 "," 2,515 "," 2,375 "," 7,719 "," 7,345 "
B67016,Huron Perth CDSB," 1,597 "," 1,535 ", 676 , 710 ," 2,273 "," 2,245 "
B29025,Huron-Superior CDSB," 1,842 "," 1,762 ", 610 , 651 ," 2,452 "," 2,413 "
B15148,James Bay Lowlands SSB,,, 79 , 98 , 79 , 98 
B66079,Kawartha Pine Ridge DSB," 11,331 "," 10,779 "," 4,911 "," 4,841 "," 16,242 "," 15,620 "
B28045,Keewatin-Patricia DSB," 1,458 "," 1,356 "," 1,106 ", 986 ," 2,564 "," 2,342 "
B29050,Kenora CDSB, 549 , 550 , 187 , 196 , 736 , 746 
B28061,Lakehead DSB," 3,100 "," 2,910 "," 1,466 "," 1,400 "," 4,566 "," 4,310 "
B66036,Lambton Kent DSB," 7,469 "," 7,130 "," 3,922 "," 3,568 "," 11,391 "," 10,698 "
B66206,Limestone DSB," 6,718 "," 6,414 "," 3,582 "," 3,208 "," 10,300 "," 9,622 "
B67032,London District Catholic School Board," 6,445 "," 6,090 "," 3,439 "," 3,219 "," 9,884 "," 9,309 "
B15199,Moose Factory Island DSAB, 188 , 136 ,,, 188 , 136 
B15202,Moosonee DSAB, 123 , 141 ,,, 123 , 141 
B28037,Near North DSB," 3,378 "," 3,218 "," 1,808 "," 1,552 "," 5,186 "," 4,770 "
B67156,Niagara CDSB," 7,449 "," 7,293 "," 3,770 "," 3,390 "," 11,219 "," 10,683 "
B29017,Nipissing-Parry Sound CDSB, 959 , 906 , 413 , 433 ," 1,372 "," 1,339 "
B29009,Northeastern CDSB, 960 , 853 , 198 , 216 ," 1,158 "," 1,069 "
B29041,Northwest CDSB, 648 , 646 ,,, 648 , 646 
B67180,Ottawa CDSB," 14,340 "," 13,590 "," 7,033 "," 6,373 "," 21,373 "," 19,963 "
B66184,Ottawa-Carleton DSB," 24,752 "," 23,400 "," 12,216 "," 11,846 "," 36,968 "," 35,246 "
B66125,Peel DSB," 58,898 "," 54,758 "," 22,438 "," 19,489 "," 81,336 "," 74,247 "
B79910,Penetanguishene PSSB, 120 , 118 ,,, 120 , 118 
B67067,Peterborough Victoria Northum Clarington CDSB," 5,157 "," 5,054 "," 2,436 "," 2,197 "," 7,593 "," 7,251 "
B28029,Rainbow DSB," 4,436 "," 4,090 "," 2,574 "," 2,300 "," 7,010 "," 6,390 "
B28053,Rainy River DSB, 863 , 878 , 494 , 511 ," 1,357 "," 1,389 "
B67199,Renfrew County CDSB," 1,890 "," 1,696 ", 520 , 527 ," 2,410 "," 2,223 "
B66214,Renfrew County DSB," 3,105 "," 2,848 "," 1,768 "," 1,609 "," 4,873 "," 4,457 "
B66109,Simcoe County DSB," 18,571 "," 17,556 "," 8,142 "," 7,525 "," 26,713 "," 25,081 "
B67091,Simcoe Muskoka CDSB," 7,162 "," 6,796 "," 3,518 "," 3,342 "," 10,680 "," 10,138 "
B67040,St Clair CDSB," 3,149 "," 3,073 "," 1,263 "," 1,301 "," 4,412 "," 4,374 "
B29033,Sudbury CDSB," 1,992 "," 1,999 "," 1,042 ", 892 ," 3,034 "," 2,891 "
B29076,Superior North CDSB, 387 , 335 ,,, 387 , 335 
B28070,Superior-Greenstone DSB, 418 , 374 , 433 , 331 , 851 , 705 
B66044,Thames Valley DSB," 26,728 "," 25,314 "," 12,235 "," 11,484 "," 38,963 "," 36,798 "
B29068,Thunder Bay CDSB," 2,848 "," 2,691 "," 1,164 "," 1,135 "," 4,012 "," 3,826 "
B67059,Toronto CDSB," 31,165 "," 29,994 "," 15,037 "," 15,061 "," 46,202 "," 45,055 "
B66052,Toronto DSB," 88,289 "," 83,344 "," 38,512 "," 35,398 "," 126,801 "," 118,742 "
B66087,Trillium Lakelands DSB," 5,588 "," 5,284 "," 3,061 "," 2,807 "," 8,649 "," 8,091 "
B66192,Upper Canada DSB," 9,127 "," 8,585 "," 5,012 "," 4,468 "," 14,139 "," 13,053 "
B66117,Upper Grand DSB," 11,911 "," 11,183 "," 5,948 "," 5,605 "," 17,859 "," 16,788 "
