CountryCode,IndicatorCode,Year,Value
CYP,NY.GDP.MKTP.CD,2000,9985844486.0
CYP,SE.TER.ENRR,2000,19.56232071
CZE,NY.GDP.MKTP.CD,2000,61823494487.0
CZE,SE.TER.ENRR,2000,29.75839043
DEU,NY.GDP.MKTP.CD,2000,183743640.47226027
DEU,SE.TER.ENRR,2000,367487251.1861301
DJI,NY.GDP.MKTP.CD,2000,551230861.9
DJI,SE.TER.ENRR,2000,0.258850008
DMA,NY.GDP.MKTP.CD,2000,333470370.4
DMA,SE.TER.ENRR,2000,82166735185.2
DNK,NY.GDP.MKTP.CD,2000,164000000000.0
DNK,SE.TER.ENRR,2000,58.36640167
DOM,NY.GDP.MKTP.CD,2000,24305781112.0
DOM,SE.TER.ENRR,2000,39548089962.5
DZA,NY.GDP.MKTP.CD,2000,54790398813.0
DZA,SE.TER.ENRR,2000,36526932545.79646
EAP,NY.GDP.MKTP.CD,2000,18263466278.592926
EAP,SE.TER.ENRR,2000,11.38938999
EAR,NY.GDP.MKTP.CD,2000,12.26751518
EAR,SE.TER.ENRR,2000,13.14564037
EAS,NY.GDP.MKTP.CD,2000,14.357400415
EAS,SE.TER.ENRR,2000,15.56916046
ECA,NY.GDP.MKTP.CD,2000,27.500579835000003
ECA,SE.TER.ENRR,2000,39.43199921
ECS,NY.GDP.MKTP.CD,2000,42.11879921
ECS,SE.TER.ENRR,2000,44.80559921
ECU,NY.GDP.MKTP.CD,2000,18327764882.0
ECU,SE.TER.ENRR,2000,59083154421.0
EGY,NY.GDP.MKTP.CD,2000,99838543960.0
EGY,SE.TER.ENRR,2000,66559029324.00389
EMU,NY.GDP.MKTP.CD,2000,33279514688.00779
EMU,SE.TER.ENRR,2000,52.01168823
ERI,NY.GDP.MKTP.CD,2000,706370815.6
ERI,SE.TER.ENRR,2000,1.864529967
ESP,NY.GDP.MKTP.CD,2000,30.1360346685
ESP,SE.TER.ENRR,2000,58.40753937
EST,NY.GDP.MKTP.CD,2000,5686579748.0
EST,SE.TER.ENRR,2000,54.40182877
ETH,NY.GDP.MKTP.CD,2000,8242349955.0
ETH,SE.TER.ENRR,2000,1.166000009
EUU,NY.GDP.MKTP.CD,2000,24.9778707645
EUU,SE.TER.ENRR,2000,48.78974152
FCS,NY.GDP.MKTP.CD,2000,29.313290598000002
FCS,SE.TER.ENRR,2000,9.836839676
FIN,NY.GDP.MKTP.CD,2000,126000000000.0
FIN,SE.TER.ENRR,2000,82.58750153
FJI,NY.GDP.MKTP.CD,2000,1678219508.0
FJI,SE.TER.ENRR,2000,1118813022.201027
FRA,NY.GDP.MKTP.CD,2000,559406536.4020538
FRA,SE.TER.ENRR,2000,50.60308075
FRO,NY.GDP.MKTP.CD,2000,1067109509.0
FRO,SE.TER.ENRR,2000,650190654.5
FSM,NY.GDP.MKTP.CD,2000,233271800.0
FSM,SE.TER.ENRR,2000,13.37213993
GAB,NY.GDP.MKTP.CD,2000,5080483628.0
GAB,SE.TER.ENRR,2000,3386989104.456744
GBR,NY.GDP.MKTP.CD,2000,1693494580.913488
GBR,SE.TER.ENRR,2000,57.37023163
GEO,NY.GDP.MKTP.CD,2000,3057475335.0
GEO,SE.TER.ENRR,2000,42.51387024
GHA,NY.GDP.MKTP.CD,2000,4982849054.0
GHA,SE.TER.ENRR,2000,4485977068.5
GIB,NY.GDP.MKTP.CD,2000,3989105083.0
GIB,SE.TER.ENRR,2000,3492233097.5
GIN,NY.GDP.MKTP.CD,2000,2995361112.0
GIN,SE.TER.ENRR,2000,1889137489.0
GMB,NY.GDP.MKTP.CD,2000,782913866.0
GMB,SE.TER.ENRR,2000,577004694.0
GNB,NY.GDP.MKTP.CD,2000,371095522.0
GNB,SE.TER.ENRR,2000,708547009.0
GNQ,NY.GDP.MKTP.CD,2000,1045998496.0
GNQ,SE.TER.ENRR,2000,1.860679984
GRC,NY.GDP.MKTP.CD,2000,130000000000.0
GRC,SE.TER.ENRR,2000,51.8473587
GRD,NY.GDP.MKTP.CD,2000,520044370.4
GRD,SE.TER.ENRR,2000,794034682.2
GRL,NY.GDP.MKTP.CD,2000,1068024994.0
GRL,SE.TER.ENRR,2000,10178476805.0
GTM,NY.GDP.MKTP.CD,2000,19288928616.0
